"","test_year","npredictors","region","brier_score"
"341",2011,5,5,0.0916
"342",2011,5,6,0.0696
"343",2011,5,7,0.094
"344",2011,5,8,0.0972
"345",2011,5,9,0.0873
"346",2011,5,10,0.0697
"347",2011,5,11,0.1021
"348",2011,5,12,0.0711
"349",2011,6,1,0.0573
"350",2011,6,2,0.0708
"351",2011,6,3,0.0514
"352",2011,6,4,0.0765
"353",2011,6,5,0.0892
"354",2011,6,6,0.0699
"355",2011,6,7,0.092
"356",2011,6,8,0.0925
"357",2011,6,9,0.0885
"358",2011,6,10,0.0669
"359",2011,6,11,0.0994
"360",2011,6,12,0.0671
"361",2011,1,1,0.0695
"362",2011,1,2,0.0793
"363",2011,1,3,0.1268
"364",2011,1,4,0.0899
"365",2011,1,5,0.1051
"366",2011,1,6,0.0964
"367",2011,1,7,0.0949
"368",2011,1,8,0.1396
"369",2011,1,9,0.0892
"370",2011,1,10,0.104
"371",2011,1,11,0.1076
"372",2011,1,12,0.0946
"373",2011,2,1,0.0608
"374",2011,2,2,0.0664
"375",2011,2,3,0.1154
"376",2011,2,4,0.0859
"377",2011,2,5,0.0842
"378",2011,2,6,0.0822
"379",2011,2,7,0.0895
"380",2011,2,8,0.1228
"381",2011,2,9,0.0813
"382",2011,2,10,0.1024
"383",2011,2,11,0.0937
"384",2011,2,12,0.0905
"385",2011,3,1,0.0722
"386",2011,3,2,0.0653
"387",2011,3,3,0.1096
"388",2011,3,4,0.0883
"389",2011,3,5,0.083
"390",2011,3,6,0.0768
"391",2011,3,7,0.0833
"392",2011,3,8,0.107
"393",2011,3,9,0.0839
"394",2011,3,10,0.0961
"395",2011,3,11,0.0925
"396",2011,3,12,0.0921
"397",2011,4,1,0.077
"398",2011,4,2,0.0662
"399",2011,4,3,0.1116
"400",2011,4,4,0.0949
"401",2011,4,5,0.0796
"402",2011,4,6,0.0809
"403",2011,4,7,0.0836
"404",2011,4,8,0.1059
"405",2011,4,9,0.087
"406",2011,4,10,0.0942
"407",2011,4,11,0.0853
"408",2011,4,12,0.0909
"409",2011,5,1,0.076
"410",2011,5,2,0.0642
"411",2011,5,3,0.1008
"412",2011,5,4,0.0917
"413",2011,5,5,0.0817
"414",2011,5,6,0.077
"415",2011,5,7,0.0802
"416",2011,5,8,0.1042
"417",2011,5,9,0.0888
"418",2011,5,10,0.0935
"419",2011,5,11,0.0776
"420",2011,5,12,0.085
"421",2011,6,1,0.0725
"422",2011,6,2,0.0637
"423",2011,6,3,0.106
"424",2011,6,4,0.0921
"425",2011,6,5,0.0803
"426",2011,6,6,0.0822
"427",2011,6,7,0.0773
"428",2011,6,8,0.0999
"429",2011,6,9,0.0876
"430",2011,6,10,0.0928
"431",2011,6,11,0.0788
"432",2011,6,12,0.079
"433",2013,1,1,0.0772
"434",2013,1,2,0.1004
"435",2013,1,3,0.1518
"436",2013,1,4,0.1076
"437",2013,1,5,0.1078
"438",2013,1,6,0.1215
"439",2013,1,7,0.1181
"440",2013,1,8,0.1436
"441",2013,1,9,0.1334
"442",2013,1,10,0.1003
"443",2013,1,11,0.1106
"444",2013,1,12,0.1047
"445",2013,2,1,0.0486
"446",2013,2,2,0.0895
"447",2013,2,3,0.1204
"448",2013,2,4,0.0839
"449",2013,2,5,0.0884
"450",2013,2,6,0.1018
"451",2013,2,7,0.0987
"452",2013,2,8,0.1218
