"","mean","min","max","m","node_size","npredictorsval"
"1",1.10745093040576,0.419863197314672,2.20327819225886,18,81,2
"2",1.09317590595249,0.424633628660124,2.13553190359864,18,81,3
"3",1.08561092259373,0.409753458978551,2.15268379945034,18,81,4
"4",1.0754887376611,0.401155652798178,2.08163723997316,18,81,5
"5",1.06675170619626,0.388047029725166,2.08772705159094,18,81,6
"6",1.06791456484846,0.389284631821686,2.03819894893306,18,81,7
"7",1.06426964774211,0.389269999469072,2.07611487554195,18,81,8
"8",1.06276058752381,0.395761866154033,2.02939710799114,18,81,9
"9",1.10960081116303,0.445689768799119,2.23613502807175,18,27,2
"10",1.08644769119904,0.438403308784993,2.09245916351456,18,27,3
"11",1.07569266553812,0.399039701048088,2.15692388659156,18,27,4
"12",1.05866198754992,0.405764251551377,2.05574612025802,18,27,5
"13",1.04951618819701,0.392816894814629,2.02805266357674,18,27,6
"14",1.04397350687025,0.381131302755561,2.04668026646617,18,27,7
"15",1.04620608667043,0.388528802590214,2.04773747489066,18,27,8
"16",1.04049217746311,0.382740416281686,2.03641391224201,18,27,9
"17",1.12632543723214,0.466740005907417,2.30755148193919,18,9,2
"18",1.0964159983196,0.461011115555972,2.16900727015986,18,9,3
"19",1.07182784976525,0.446043793134719,2.16504864765881,18,9,4
"20",1.05496084688263,0.404913299773012,2.08654143178273,18,9,5
"21",1.03827403448107,0.405136816924879,2.06240630835525,18,9,6
"22",1.03303626849328,0.394054096584361,2.03563609775067,18,9,7
"23",1.03002097533322,0.391990673427868,2.05487296600757,18,9,8
"24",1.02973361315204,0.402197401140906,2.08366204249907,18,9,9
"25",1.10987496648877,0.432218063102202,2.18129478136364,6,81,2
"26",1.09470904807915,0.403954619238884,2.12933986057818,6,81,3
"27",1.08843628006402,0.40979212727834,2.12055250999406,6,81,4
"28",1.07732941345434,0.400910787607573,2.09479177595094,6,81,5
"29",1.06775946021585,0.382306797010333,2.07460813085571,6,81,6
"30",1.06211645376656,0.399328250878239,2.06771575727239,6,81,7
"31",1.06030570686921,0.389358140806971,2.05576580345317,6,81,8
"32",1.05918404691487,0.377953982565142,2.06620731377994,6,81,9
"33",1.11167768087805,0.40414137168569,2.23285091427922,6,27,2
"34",1.08928080286742,0.415890836292351,2.14962772054712,6,27,3
"35",1.07396781031671,0.405248671497542,2.13127380452026,6,27,4
"36",1.06068003043929,0.40752572210024,2.08982278157165,6,27,5
"37",1.052427715445,0.39524199279964,2.12517648142422,6,27,6
"38",1.04140890665225,0.382177107470748,2.03258335677208,6,27,7
"39",1.03771556811887,0.384398059218491,2.03212366440402,6,27,8
"40",1.03751540642995,0.384387401538991,2.0689372586225,6,27,9
"41",1.12545273019148,0.474872950987069,2.3154900584376,6,9,2
"42",1.09817295134215,0.436165549891463,2.1970253641158,6,9,3
"43",1.07359459151689,0.429129827009508,2.14829373526931,6,9,4
"44",1.05596908151266,0.409093356869123,2.14632051217292,6,9,5
"45",1.03671875046387,0.403340321866994,2.04850465118205,6,9,6
"46",1.02719452271781,0.385603941544479,2.01626353160885,6,9,7
"47",1.02445730367652,0.381944509436731,2.04828741519058,6,9,8
"48",1.02012354336279,0.394787487090844,2.01108628195414,6,9,9
"49",1.10540737320113,0.397037009099387,2.14856006216878,2,81,2
"50",1.09068224350608,0.395052736267922,2.17205294502292,2,81,3
"51",1.07588497270548,0.390620150582685,2.10063847921787,2,81,4
"52",1.07057550698564,0.388935636731448,2.07010252948718,2,81,5
"53",1.06550478315632,0.377566282410409,2.06711209796541,2,81,6
"54",1.06574374722754,0.372688067650165,2.08094228590237,2,81,7
"55",1.06359360191296,0.367820526909289,2.03704412343087,2,81,8
"56",1.06418042276929,0.385472066547426,2.0580725389388,2,81,9
"57",1.10742395798726,0.391080587663896,2.17622176953947,2,27,2
"58",1.08123256213713,0.396696363682165,2.13541903858739,2,27,3
"59",1.07064030790133,0.396360469081829,2.09839947559482,2,27,4
"60",1.05546885680471,0.384711461989264,2.02855689680698,2,27,5
"61",1.04218454208302,0.390096139156489,2.05477414599141,2,27,6
"62",1.04006430870548,0.369774865100901,2.02197465177504,2,27,7
"63",1.03814615027947,0.375955306139228,2.03705628137366,2,27,8
"64",1.03634547017805,0.369691241736757,2.04928705245014,2,27,9
"65",1.12712544931142,0.42092179614722,2.23238411447331,2,9,2
"66",1.09298353117123,0.404264912301241,2.12559431428908,2,9,3
"67",1.06087679363633,0.406612572610847,2.16868281194857,2,9,4
"68",1.0407632445615,0.387883573846466,2.0610370108652,2,9,5
"69",1.02710151847534,0.381450722683062,2.00763228754098,2,9,6
"70",1.02426739677635,0.373772896057289,2.05257466027381,2,9,7
"71",1.02029357388182,0.378408312620346,2.05223446285258,2,9,8
"72",1.01823674939391,0.367343231168324,2.03603333832949,2,9,9
