"","X1","X2","X3","X4","X5","X6","region.1","region.2","region.3","region.4","region.5","region.6","region","mean.crpsscore.","testsubset","nodesize","mtry","test_year","npredictors"
"1",0.110604694214876,0.100430016528926,0.0827153719008265,0.0640524958677686,0.0492435041322314,0.0328046280991736,1,1,1,1,1,1,1,0.528227853206961,1,9,2,2010,9
"2",0.115381818181818,0.0934988282828283,0.0806346666666667,0.0845254141414141,0.0620588282828283,0.0364707878787879,2,2,2,2,2,2,2,0.727733401242308,1,9,2,2010,9
"3",0.09888025,0.097015875,0.098235,0.086524125,0.077907625,0.062427125,3,3,3,3,3,3,3,1.1647162760499,1,9,2,2010,9
"4",0.102873160305344,0.0947272061068702,0.0880040305343511,0.0851356335877863,0.062051786259542,0.0455891297709924,4,4,4,4,4,4,4,0.563607196901973,1,9,2,2010,9
"5",0.081869696,0.085981824,0.090764672,0.10255104,0.103434624,0.090002048,5,5,5,5,5,5,5,1.1183446905586,1,9,2,2010,9
"6",0.100872615384615,0.103142523076923,0.105434215384615,0.0929319384615385,0.0811492923076923,0.0839265230769231,6,6,6,6,6,6,6,1.79288171633623,1,9,2,2010,9
"7",0.10752443697479,0.101140705882353,0.0983655798319328,0.0990570756302521,0.0731868235294118,0.0583397647058823,7,7,7,7,7,7,7,0.775870477522556,1,9,2,2010,9
"8",0.091368875,0.081534375,0.08659075,0.098923625,0.107047875,0.102246,8,8,8,8,8,8,8,1.52050283059745,1,9,2,2010,9
"9",0.0902971034482759,0.0848093793103448,0.0808543448275862,0.082367724137931,0.0646154482758621,0.0616864827586207,9,9,9,9,9,9,9,0.982591410029707,1,9,2,2010,9
"10",0.0875469677419355,0.0907670967741935,0.0970735483870968,0.0709749677419355,0.0617725161290323,0.049377935483871,10,10,10,10,10,10,10,0.676401969648263,1,9,2,2010,9
"11",0.114522827067669,0.10607037593985,0.0951706466165414,0.095263037593985,0.0842558796992481,0.0591814736842105,11,11,11,11,11,11,11,1.25562373133312,1,9,2,2010,9
"12",0.116248192,0.103648896,0.09123712,0.086283904,0.07287168,0.053080064,12,12,12,12,12,12,12,1.01730047948378,1,9,2,2010,9
"13",0.112539768595041,0.103099636363636,0.0846220165289256,0.0639288595041322,0.0485827438016529,0.0323575537190083,1,1,1,1,1,1,1,0.53472238015087,1,9,2,2010,8
"14",0.111096888888889,0.0919314747474747,0.0780324848484849,0.0817254141414141,0.0620261818181818,0.0356130909090909,2,2,2,2,2,2,2,0.71869817697737,1,9,2,2010,8
"15",0.099079,0.096640375,0.096930375,0.08664775,0.075351875,0.062474125,3,3,3,3,3,3,3,1.18838521649308,1,9,2,2010,8
"16",0.101220519083969,0.0948034198473282,0.0874034809160305,0.0870876335877863,0.0626163053435115,0.047137465648855,4,4,4,4,4,4,4,0.57248827388752,1,9,2,2010,8
"17",0.081409536,0.086579968,0.089676288,0.10437376,0.103027072,0.08784768,5,5,5,5,5,5,5,1.11739296169099,1,9,2,2010,8
"18",0.101040984615385,0.101064369230769,0.104114338461538,0.0925404307692308,0.0812544,0.0824647384615385,6,6,6,6,6,6,6,1.78163826359608,1,9,2,2010,8
"19",0.104652907563025,0.0978101512605042,0.0964668235294118,0.0983913949579832,0.0723795630252101,0.0581825882352941,7,7,7,7,7,7,7,0.763245538495688,1,9,2,2010,8
"20",0.09759,0.0869765,0.092496875,0.10479775,0.112176125,0.105408375,8,8,8,8,8,8,8,1.59359725604699,1,9,2,2010,8
"21",0.0856747586206897,0.0794870344827586,0.0769365517241379,0.0795415172413793,0.0605372413793103,0.0584871724137931,9,9,9,9,9,9,9,0.952779365676901,1,9,2,2010,8
"22",0.087801935483871,0.0910687741935484,0.0948201290322581,0.0690116129032258,0.0619002580645161,0.0494505806451613,10,10,10,10,10,10,10,0.688034473868543,1,9,2,2010,8
"23",0.113866827067669,0.106913082706767,0.0973145263157895,0.097301052631579,0.0831618646616541,0.0579539248120301,11,11,11,11,11,11,11,1.26056827591767,1,9,2,2010,8
"24",0.115883392,0.102846976,0.088687104,0.087707008,0.075238016,0.056859776,12,12,12,12,12,12,12,1.0266451681638,1,9,2,2010,8
"25",0.117211504132231,0.107964561983471,0.089932958677686,0.0696276363636364,0.0519338842975207,0.033804826446281,1,1,1,1,1,1,1,0.558395198721833,1,9,2,2010,7
"26",0.114233373737374,0.0936720808080808,0.0797970101010101,0.0839966060606061,0.0614354747474748,0.0359191919191919,2,2,2,2,2,2,2,0.707936168239244,1,9,2,2010,7
"27",0.103895125,0.10267075,0.101552,0.0884605,0.07507875,0.062105625,3,3,3,3,3,3,3,1.19187045513045,1,9,2,2010,7
"28",0.104962687022901,0.0988957557251908,0.089733251908397,0.0878634503816794,0.0615090076335878,0.0464230839694657,4,4,4,4,4,4,4,0.569806997441938,1,9,2,2010,7
"29",0.084404224,0.08932864,0.090447744,0.103822336,0.102357248,0.085922048,5,5,5,5,5,5,5,1.09193589559333,1,9,2,2010,7
"30",0.101269907692308,0.101612184615385,0.103262769230769,0.0935287384615385,0.0817844923076923,0.0839966769230769,6,6,6,6,6,6,6,1.78413706695903,1,9,2,2010,7
"31",0.106415865546218,0.0990527731092437,0.0955120672268908,0.0964605042016807,0.0730223865546218,0.0553357983193277,7,7,7,7,7,7,7,0.757163489145171,1,9,2,2010,7
"32",0.094698,0.083530125,0.089495625,0.101387,0.1093735,0.101586375,8,8,8,8,8,8,8,1.55613078987054,1,9,2,2010,7
"33",0.0881017931034483,0.0818337931034483,0.0793331034482759,0.083072,0.0638452413793103,0.0615428965517241,9,9,9,9,9,9,9,1.00441953693645,1,9,2,2010,7
